--- Average Search Time (ms) ---
,Genome,Reviews,Amazon,VariousImg,Music,BookReviews,Tiktok,Laion
UNG,318.49,30.26,198.93,20.46,220.36,170.20,100.69,160.22
ACORN-1,110.51,24.45,155.00,77.27,969.64,667.65,577.60,713.80
ACORN-gamma,111.03,14.34,116.91,55.55,944.99,470.00,452.47,690.99
ACORN-gamma-improved,4513.44,653.64,295.79,123.86,6453.46,1621.48,703.67,744.57
SmartRoute,88.67,9.86,123.83,14.50,75.77,48.66,99.41,76.79


--- Total Rows Used for Calculation ---
,Genome,Reviews,Amazon,VariousImg,Music,BookReviews,Tiktok,Laion
UNG,66357,74714,25526,28205,21844,59909,30399,71902
ACORN-1,43546,16646,15056,28785,55498,12310,14245,8627
ACORN-gamma,44229,25350,15292,34927,49417,13138,13895,15340
ACORN-gamma-improved,54636,55868,15853,68262,31040,39615,16411,38942
SmartRoute,67767,74689,26718,31286,23914,65655,30679,73297


--- Average Operating Recall ---
,Genome,Reviews,Amazon,VariousImg,Music,BookReviews,Tiktok,Laion
UNG,0.9815,0.9936,0.9412,0.9320,0.9148,0.9478,0.9639,0.7820
ACORN-1,0.3822,0.7894,0.4514,0.9836,0.5928,0.6788,0.5516,0.8539
ACORN-gamma,0.3794,0.8406,0.4532,0.9964,0.6027,0.6456,0.5355,0.8760
ACORN-gamma-improved,0.3604,0.9590,0.4520,0.9845,0.6258,0.5312,0.5247,0.8966
SmartRoute,0.9840,0.9936,0.9616,0.9381,0.9563,0.9786,0.9679,0.8968
