dataset,category,ratio_name,ratio_value,status,qps_num,recall_num,time_num_ms,qps_den,recall_den,time_den_ms
Amazon,Mixed,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",712.1442,0.9215,1404.2100,,,
Amazon,Mixed,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",712.1442,0.9215,1404.2100,,,
Amazon,Mixed,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",712.1442,0.9215,1404.2100,,,
Amazon,Mixed,SmartRoute/UNG,1.7158,OK (Recall>=0.9),712.1442,0.9215,1404.2100,415.0480,0.9060,2409.3600
Amazon,Small Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",459.5884,0.9020,1087.9300,,,
Amazon,Small Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",459.5884,0.9020,1087.9300,,,
Amazon,Small Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",459.5884,0.9020,1087.9300,,,
Amazon,Small Length,SmartRoute/UNG,1.9364,OK (Recall>=0.9),459.5884,0.9020,1087.9300,237.3403,0.9030,2106.6800
Amazon,Large Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",1060.2632,0.9260,471.5810,,,
Amazon,Large Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",1060.2632,0.9260,471.5810,,,
Amazon,Large Length,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",1060.2632,0.9260,471.5810,,,
Amazon,Large Length,SmartRoute/UNG,1.9321,OK (Recall>=0.9),1060.2632,0.9260,471.5810,548.7733,0.9260,911.1230
Amazon,Small p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",837.8760,0.9476,596.7470,,,
Amazon,Small p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",837.8760,0.9476,596.7470,,,
Amazon,Small p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",837.8760,0.9476,596.7470,,,
Amazon,Small p_pass,SmartRoute/UNG,1.1738,OK (Recall>=0.9),837.8760,0.9476,596.7470,713.8197,0.9476,700.4570
Amazon,Large p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",300.6090,0.9062,1663.2900,,,
Amazon,Large p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",300.6090,0.9062,1663.2900,,,
Amazon,Large p_pass,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",300.6090,0.9062,1663.2900,,,
Amazon,Large p_pass,SmartRoute/UNG,1.4499,OK (Recall>=0.9),300.6090,0.9062,1663.2900,207.3244,0.9026,2411.6800
Amazon,Threads=10,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",151.6036,0.9215,6596.1500,,,
Amazon,Threads=10,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",151.6036,0.9215,6596.1500,,,
Amazon,Threads=10,SmartRoute/ACORN-gamma-improved,inf,"Infinity (Num>=0.9, Den Failed)",151.6036,0.9215,6596.1500,,,
Amazon,Threads=10,SmartRoute/UNG,1.4921,OK (Recall>=0.9),151.6036,0.9215,6596.1500,101.6062,0.9059,9841.9200
VariousImg,Mixed,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",20560.4786,0.9002,48.6370,,,
VariousImg,Mixed,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",20560.4786,0.9002,48.6370,,,
VariousImg,Mixed,SmartRoute/ACORN-gamma-improved,5.3575,OK (Recall>=0.9),20560.4786,0.9002,48.6370,3837.7256,0.9243,260.5710
VariousImg,Mixed,SmartRoute/UNG,2.3466,OK (Recall>=0.9),20560.4786,0.9002,48.6370,8761.7078,0.9025,114.1330
VariousImg,Small Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",10578.5628,0.9000,47.2654,,,
VariousImg,Small Length,SmartRoute/ACORN-gamma,2.9284,OK (Recall>=0.9),10578.5628,0.9000,47.2654,3612.4035,0.9240,138.4120
VariousImg,Small Length,SmartRoute/ACORN-gamma-improved,3.0843,OK (Recall>=0.9),10578.5628,0.9000,47.2654,3429.8258,0.9092,145.7800
VariousImg,Small Length,SmartRoute/UNG,2.7410,OK (Recall>=0.9),10578.5628,0.9000,47.2654,3859.4243,0.9032,129.5530
VariousImg,Large Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",12748.3051,0.9076,39.2209,,,
VariousImg,Large Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",12748.3051,0.9076,39.2209,,,
VariousImg,Large Length,SmartRoute/ACORN-gamma-improved,4.5378,OK (Recall>=0.9),12748.3051,0.9076,39.2209,2809.3676,0.9410,177.9760
VariousImg,Large Length,SmartRoute/UNG,1.3854,OK (Recall>=0.9),12748.3051,0.9076,39.2209,9201.9346,0.9072,54.3364
VariousImg,Small p_pass,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",12390.0691,0.9058,40.3549,,,
VariousImg,Small p_pass,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",12390.0691,0.9058,40.3549,,,
VariousImg,Small p_pass,SmartRoute/ACORN-gamma-improved,3.6577,OK (Recall>=0.9),12390.0691,0.9058,40.3549,3387.3503,0.9662,147.6080
VariousImg,Small p_pass,SmartRoute/UNG,1.2422,OK (Recall>=0.9),12390.0691,0.9058,40.3549,9974.5251,0.9058,50.1277
VariousImg,Large p_pass,SmartRoute/ACORN-1,1.3360,OK (Recall>=0.9),3943.0933,0.9058,126.8040,2951.4545,0.9434,169.4080
VariousImg,Large p_pass,SmartRoute/ACORN-gamma,1.1588,OK (Recall>=0.9),3943.0933,0.9058,126.8040,3402.6800,0.9772,146.9430
VariousImg,Large p_pass,SmartRoute/ACORN-gamma-improved,1.0777,OK (Recall>=0.9),3943.0933,0.9058,126.8040,3658.8222,0.9224,136.6560
VariousImg,Large p_pass,SmartRoute/UNG,1.1610,OK (Recall>=0.9),3943.0933,0.9058,126.8040,3396.3700,0.9016,147.2160
VariousImg,Threads=10,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",4875.3138,0.9038,205.1150,,,
VariousImg,Threads=10,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",4875.3138,0.9038,205.1150,,,
VariousImg,Threads=10,SmartRoute/ACORN-gamma-improved,3.0786,OK (Recall>=0.9),4875.3138,0.9038,205.1150,1583.6190,0.9443,631.4650
VariousImg,Threads=10,SmartRoute/UNG,1.1515,OK (Recall>=0.9),4875.3138,0.9038,205.1150,4233.7540,0.9020,236.1970
Reviews,Mixed,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",7742.0354,0.9269,129.1650,,,
Reviews,Mixed,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",7742.0354,0.9269,129.1650,,,
Reviews,Mixed,SmartRoute/ACORN-gamma-improved,5.1479,OK (Recall>=0.9),7742.0354,0.9269,129.1650,1503.9222,0.9023,664.9280
Reviews,Mixed,SmartRoute/UNG,140.7897,OK (Recall>=0.9),7742.0354,0.9269,129.1650,54.9901,0.9079,18185.1000
Reviews,Small Length,SmartRoute/ACORN-1,inf,"Infinity (Num>=0.9, Den Failed)",4531.3251,0.9256,110.3430,,,
Reviews,Small Length,SmartRoute/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",4531.3251,0.9256,110.3430,,,
